code,name,qty,price,curr,type_name,adjustment,pnl
ft_LU1116320737,汇丰贝莱德基金,3043.93,8.7182,USD,海外基金,648.4355400000006,
BILI,哔哩哔哩,70.0,79.0,USD,美股,1625.0,
513530,港股通红利ETF,26500.0,1.689,CNY,,0.0,
sh600941,中国移动,200.0,105.716,CNY,,0.0,
159655,标普ETF,8400.0,1.783,CNY,,0.0,
sh600900,长江电力,900.0,28.469,CNY,,0.0,
512890,红利低波ETF,69000.0,1.184,CNY,,0.0,
513130,恒生科技,38500.0,0.747,CNY,,0.0,
sh601088,中国神华,200.0,40.44,CNY,,0.0,
sh601398,工商银行,13300.0,6.731,CNY,,0.0,
sz002594,比亚迪,100.0,100.89,CNY,,0.0,
sh601166,兴业银行,500.0,20.671,CNY,,0.0,
159201,自由现金流ETF,10000.0,1.169,CNY,,0.0,
sh600036,招商银行,500.0,35.151,CNY,,0.0,
f_968163,摩根亚洲总收益,4665.88,10.61,CNY,,0.0,
f_968048,摩根亚洲股息,5867.0,16.63,CNY,,0.0,
00175.HK,吉利汽车,1000.0,32.66,HKD,,0.0,
03988.HK,中国银行,2000.0,3.742,HKD,,0.0,2224.0
01810.HK,小米集团-Ｗ,200.0,43.583,HKD,,0.0,
SE,Sea Ltd.,10.0,160.0,USD,,0.0,
110017,易方达增强回报债券A,411639.0,1.409,CNY,,0.0,
