Calendar Total PnL: 6138.840000000002
{'label': '4', 'pnl': 7519.92}
{'label': '5', 'pnl': 3089.2}
{'label': '6', 'pnl': -612.73}
{'label': '7', 'pnl': 0.0}
{'label': '8', 'pnl': 0.0}
{'label': '9', 'pnl': 3123.83}
{'label': '10', 'pnl': 2582.11}
{'label': '11', 'pnl': 1945.04}
{'label': '12', 'pnl': -4591.14}
{'label': '13', 'pnl': -7015.26}
{'label': '14', 'pnl': 0.0}
{'label': '15', 'pnl': 0.0}
{'label': '16', 'pnl': -2696.43}
{'label': '17', 'pnl': 5753.3}
{'label': '18', 'pnl': 1960.16}
{'label': '19', 'pnl': -630.66}
{'label': '20', 'pnl': 594.14}
{'label': '21', 'pnl': 0.0}
{'label': '22', 'pnl': 0.0}
{'label': '23', 'pnl': -2797.96}
{'label': '24', 'pnl': 338.25}
{'label': '25', 'pnl': 586.45}
{'label': '26', 'pnl': -4156.94}
{'label': '27', 'pnl': 1147.56}
